"Reference","Qty","Value"
"Y2","1","TSX-3225_26MHZ"
"U12,U13","2","CM1293A-04SO"
"U9","1","LDL1117S33R"
"U8","1","IIS2MDCTR"
"U7","1","STM32F446RET6"
"U5","1","BMP384"
"U4","1","LSM6DSVTR"
"U3","1","SN74AHCT541PWR"
"U2","1","AT25SF128A-SHB-T"
"U1","1","NRF24L01_Breakout"
"TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP12,TP13,TP14","11","TestPoint"
"SW1,SW3","2","SW_Push"
"Slide_SW1","1","450404015514"
"R39","1","100R"
"R33,R34","2","4k7"
"R30","1","470R"
"R11","1","100k"
"R5,R6,R8,R9","4","260R"
"R4,R15,R16,R17,R18,R19,R20,R22,R23,R24,R25,R26,R27,R28,R29,R31,R32,R35,R36","19","0R"
"R2,R3,R7,R21,R37,R38","6","47k"
"R1,R10,R12,R13","4","10k"
"Q4","1","DMP3010LPSQ-13"
"J5,J7,J9,J10,J11,J12,J13","7","Conn_01x03_Pin"
"J4","1","FTSH-105-01-F-DV-K-A"
"J2","1","Micro_SD_Card"
"J1","1","JST-PH"
"FB1","1","120R"
"D6,D8","2","SMAJ5.0CA"
"D5,D7,D10","3","ESD8104MUTAG"
"D4","1","LED3"
"D3","1","LED2"
"D2","1","LED1"
"D1","1","LED0"
"C38","1","220n"
"C29,C30","2","8p"
"C25,C43","2","470u"
"C21,C32","2","4u7"
"C12","1","22u"
"C7,C34","2","10n"
"C6,C15,C18,C26,C36,C39,C40,C41,C42","9","10u"
"C3,C8,C9,C20,C22","5","1u"
"C1,C2,C4,C5,C10,C11,C13,C14,C16,C17,C19,C23,C24,C28,C31,C33,C35,C37","18","100n"
